"";"";"";"";"";"";"";"";"foo"
"CEF-PEN-TET-TIA";"2 (2.4)";"";"";"";"";"";"";"2 (0.6)"
"CEF-CHL-CIP-CLI-ERY-GEN-KAN-PEN-Q/D-STR-TET-TIA";"";"";"";"";"1 (0.6)";"";"";"1 (0.3)"
"CEF-CHL-CIP-KAN-PEN-TET";"";"";"";"";"1 (0.6)";"";"";"1 (0.3)"
"CEF-CHL-CIP-MUP-PEN-TET";"";"";"";"";"1 (0.6)";"";"";"1 (0.3)"
"CEF-CHL-CIP-PEN-STR-TET-TMP";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-CHL-CIP-PEN-TMP";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-CHL-CLI-ERY-GEN-PEN-TET-TMP";"";"";"1 (2.7)";"";"";"";"";"1 (0.3)"
"CEF-CHL-CLI-ERY-KAN-PEN-Q/D-STR-TET-TIA";"";"";"1 (2.7)";"";"";"";"";"1 (0.3)"
"CEF-CHL-PEN-STR-TET";"";"";"";"";"1 (0.6)";"";"";"1 (0.3)"
"CEF-CIP-CLI-ERY-GEN-KAN-PEN-TET-TIA";"";"1 (25)";"";"";"";"";"";"1 (0.3)"
"CEF-CIP-CLI-ERY-KAN-PEN-Q/D-STR-TET-TIA-TMP";"";"";"";"";"";"1 (2.2)";"";"1 (0.3)"
"CEF-CIP-CLI-ERY-PEN-Q/D-RIF-TET-TIA";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-CIP-CLI-ERY-PEN-Q/D-TET-TIA";"";"";"";"";"";"1 (2.2)";"";"1 (0.3)"
"CEF-CIP-CLI-ERY-PEN-STR";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-CIP-CLI-ERY-PEN-STR-TET-TMP";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-CIP-CLI-ERY-PEN-TET";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-CIP-CLI-KAN-PEN-Q/D-STR-TET-TIA-TMP";"";"";"";"";"1 (0.6)";"";"";"1 (0.3)"
"CEF-CIP-CLI-PEN-TET-TMP";"";"";"";"";"1 (0.6)";"";"";"1 (0.3)"
"CEF-CIP-GEN-PEN-TET";"";"";"";"";"1 (0.6)";"";"";"1 (0.3)"
"CEF-CIP-KAN-PEN-STR-TET-TMP";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-CIP-PEN-Q/D-TET";"";"";"";"";"1 (0.6)";"";"";"1 (0.3)"
"CEF-CIP-PEN-SMX";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-CIP-PEN-STR";"";"";"1 (2.7)";"";"";"";"";"1 (0.3)"
"CEF-CIP-PEN-STR-TET-TMP";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-CLI-ERY-GEN-PEN-STR-TET-TMP";"";"";"1 (2.7)";"";"";"";"";"1 (0.3)"
"CEF-CLI-ERY-GEN-PEN-TET";"";"";"1 (2.7)";"";"";"";"";"1 (0.3)"
"CEF-CLI-ERY-PEN-Q/D-RIF-TET-TIA-TMP";"";"";"";"";"";"1 (2.2)";"";"1 (0.3)"
"CEF-CLI-ERY-PEN-Q/D-STR-TET-TIA";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-CLI-PEN-Q/D-TET-TIA";"";"";"";"";"";"1 (2.2)";"";"1 (0.3)"
"CEF-CLI-PEN-TET-TIA-TMP";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-ERY-KAN-PEN";"";"";"1 (2.7)";"";"";"";"";"1 (0.3)"
"CEF-ERY-KAN-PEN-STR-TET";"";"";"";"1 (9.1)";"";"";"";"1 (0.3)"
"CEF-ERY-PEN-TET-TIA-TMP";"";"";"";"";"1 (0.6)";"";"";"1 (0.3)"
"CEF-GEN-KAN-PEN-Q/D-TET-TIA";"";"";"";"";"1 (0.6)";"";"";"1 (0.3)"
"CEF-PEN-Q/D-TET";"";"";"";"";"1 (0.6)";"";"";"1 (0.3)"
"CEF-PEN-RIF-TET";"";"";"";"";"";"1 (2.2)";"";"1 (0.3)"
"CEF-PEN-SMX-TET";"";"";"";"";"";"1 (2.2)";"";"1 (0.3)"
"CEF-PEN-TET-TIA-TMP";"1 (1.2)";"";"";"";"";"";"";"1 (0.3)"
"CEF-PEN-TMP";"";"";"1 (2.7)";"";"";"";"";"1 (0.3)"
