"";"";"";"";"";"";"";"";"foo"
"CEF-CLI-ERY-PEN-TET";"1 (0.3)";"";"3 (9.7)";"";"";"1 (3.6)";"";"5 (1)"
"CEF-CIP-CLI-ERY-PEN-STR-TET";"4 (1.2)";"";"";"";"";"";"";"4 (0.8)"
"CEF-CIP-ERY-FUS-GEN-KAN-PEN";"";"";"4 (12.9)";"";"";"";"";"4 (0.8)"
"CEF-CIP-ERY-PEN";"";"";"4 (12.9)";"";"";"";"";"4 (0.8)"
"CEF-CIP-PEN-TET-TIA-TMP";"3 (0.9)";"";"";"";"";"1 (3.6)";"";"4 (0.8)"
"CEF-CHL-CIP-CLI-ERY-PEN-Q/D-STR-TET-TIA-TMP";"3 (0.9)";"";"";"";"";"";"";"3 (0.6)"
"CEF-CLI-ERY-GEN-PEN-Q/D-STR-TET-TIA-TMP";"";"3 (2.5)";"";"";"";"";"";"3 (0.6)"
"CEF-CLI-ERY-KAN-PEN-Q/D-TET-TIA-TMP";"3 (0.9)";"";"";"";"";"";"";"3 (0.6)"
"CEF-CHL-CIP-CLI-ERY-GEN-KAN-PEN-TET-TMP";"";"";"2 (6.5)";"";"";"";"";"2 (0.4)"
"CEF-CHL-CIP-CLI-ERY-PEN-Q/D-TET-TIA-TMP";"2 (0.6)";"";"";"";"";"";"";"2 (0.4)"
"CEF-CHL-CLI-ERY-PEN-TET";"2 (0.6)";"";"";"";"";"";"";"2 (0.4)"
"CEF-CIP-CLI-ERY-GEN-KAN-PEN-TMP";"";"";"2 (6.5)";"";"";"";"";"2 (0.4)"
"CEF-CIP-CLI-ERY-PEN-Q/D-STR-TET-TIA";"2 (0.6)";"";"";"";"";"";"";"2 (0.4)"
"CEF-CIP-CLI-ERY-PEN-Q/D-TET-TMP";"2 (0.6)";"";"";"";"";"";"";"2 (0.4)"
"CEF-CIP-CLI-ERY-PEN-TET";"1 (0.3)";"";"";"";"";"";"1 (7.1)";"2 (0.4)"
"CEF-CIP-CLI-ERY-PEN-TET-TIA-TMP";"2 (0.6)";"";"";"";"";"";"";"2 (0.4)"
"CEF-CIP-PEN-TET";"2 (0.6)";"";"";"";"";"";"";"2 (0.4)"
"CEF-CLI-ERY-GEN-KAN-PEN-Q/D-TET-TIA-TMP";"2 (0.6)";"";"";"";"";"";"";"2 (0.4)"
"CEF-CLI-ERY-GEN-PEN-Q/D-TET-TIA-TMP";"2 (0.6)";"";"";"";"";"";"";"2 (0.4)"
"CEF-CLI-ERY-GEN-PEN-TET";"2 (0.6)";"";"";"";"";"";"";"2 (0.4)"
"CEF-CLI-ERY-PEN-Q/D-STR-TET-TIA";"2 (0.6)";"";"";"";"";"";"";"2 (0.4)"
"CEF-CLI-ERY-PEN-Q/D-TET";"2 (0.6)";"";"";"";"";"";"";"2 (0.4)"
"CEF-ERY-KAN-PEN-STR";"1 (0.3)";"";"";"";"";"1 (3.6)";"";"2 (0.4)"
"CEF-ERY-KAN-PEN-STR-TET";"1 (0.3)";"";"";"";"";"";"1 (7.1)";"2 (0.4)"
"CEF-PEN-TMP";"";"";"1 (3.2)";"";"";"";"1 (7.1)";"2 (0.4)"
"CEF-CHL-CIP-CLI-ERY-KAN-PEN-Q/D-STR-TET-TIA-TMP";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CHL-CIP-CLI-LZD-PEN-Q/D-STR-TET-TIA-TMP";"";"";"";"";"";"1 (3.6)";"";"1 (0.2)"
"CEF-CHL-CIP-CLI-LZD-PEN-Q/D-TIA";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CHL-CIP-CLI-PEN-Q/D-TIA";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CHL-CIP-CLI-PEN-TET-TIA";"";"";"";"";"1 (33.3)";"";"";"1 (0.2)"
"CEF-CHL-CIP-CLI-PEN-TIA";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CHL-CIP-PEN";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CHL-CIP-PEN-STR";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CHL-CLI-ERY-GEN-KAN-PEN-TET-TMP";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CHL-CLI-ERY-PEN-Q/D-TET-TIA-TMP";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CHL-CLI-ERY-PEN-STR-TET";"";"";"";"";"";"";"1 (7.1)";"1 (0.2)"
"CEF-CHL-TET";"";"";"";"";"1 (33.3)";"";"";"1 (0.2)"
"CEF-CIP-CLI-ERY-GEN-KAN-PEN-RIF-TET-TMP";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CIP-CLI-ERY-PEN";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CIP-CLI-ERY-PEN-Q/D-SMX-TET-TIA-TMP";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CIP-CLI-ERY-PEN-SMX-TET-TMP";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CIP-CLI-ERY-Q/D-TET-TIA-TMP";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CIP-CLI-ERY-TET-TMP";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CIP-CLI-PEN-TIA";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CIP-CLI-Q/D-STR-TET-TIA-TMP";"";"";"";"1 (33.3)";"";"";"";"1 (0.2)"
"CEF-CIP-ERY-GEN-KAN-PEN-TMP";"";"";"1 (3.2)";"";"";"";"";"1 (0.2)"
"CEF-CIP-ERY-PEN-TMP";"";"";"1 (3.2)";"";"";"";"";"1 (0.2)"
"CEF-CIP-GEN-KAN-PEN-TET-TMP";"";"";"";"";"";"1 (3.6)";"";"1 (0.2)"
"CEF-CIP-PEN-SMX-TET-TIA-TMP";"";"1 (0.8)";"";"";"";"";"";"1 (0.2)"
"CEF-CLI-ERY-GEN-KAN-PEN";"";"1 (0.8)";"";"";"";"";"";"1 (0.2)"
"CEF-CLI-ERY-GEN-KAN-PEN-STR-TET-TMP";"";"1 (0.8)";"";"";"";"";"";"1 (0.2)"
"CEF-CLI-ERY-GEN-KAN-PEN-TET-TMP";"";"";"1 (3.2)";"";"";"";"";"1 (0.2)"
"CEF-CLI-ERY-GEN-PEN-TET-TMP";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CLI-ERY-KAN-PEN-TET-TMP";"";"";"";"";"";"";"1 (7.1)";"1 (0.2)"
"CEF-CLI-ERY-PEN-TET-TIA";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-CLI-PEN-TET-TIA-TMP";"";"1 (0.8)";"";"";"";"";"";"1 (0.2)"
"CEF-CLI-PEN-TIA-TMP";"";"1 (0.8)";"";"";"";"";"";"1 (0.2)"
"CEF-ERY-FUS-MUP-PEN";"";"1 (0.8)";"";"";"";"";"";"1 (0.2)"
"CEF-ERY-GEN-KAN-PEN";"";"";"1 (3.2)";"";"";"";"";"1 (0.2)"
"CEF-ERY-KAN-PEN-TET-TMP";"";"";"1 (3.2)";"";"";"";"";"1 (0.2)"
"CEF-ERY-PEN-TET-TIA-TMP";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CEF-ERY-PEN-TET-TMP";"";"";"1 (3.2)";"";"";"";"";"1 (0.2)"
"CEF-FUS-PEN";"";"";"";"";"";"";"1 (7.1)";"1 (0.2)"
"CEF-PEN-STR-TET";"";"";"";"";"";"1 (3.6)";"";"1 (0.2)"
"CEF-PEN-TET-TIA";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
"CIP-CLI-ERY-PEN-Q/D-TET-TIA";"1 (0.3)";"";"";"";"";"";"";"1 (0.2)"
